,hotel,is_canceled,lead_time,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,meal,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,assigned_room_type,booking_changes,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,total_guests,countries
0,Resort Hotel,0,342,July,1,0,0,BB,Direct,0,0,0,C,3,,0,Transient,0.0,0,0,2.0,PRT
1,Resort Hotel,0,737,July,1,0,0,BB,Direct,0,0,0,C,4,,0,Transient,0.0,0,0,2.0,PRT
2,Resort Hotel,0,7,July,1,0,1,BB,Direct,0,0,0,C,0,,0,Transient,75.0,0,0,1.0,GBR
3,Resort Hotel,0,13,July,1,0,1,BB,Corporate,0,0,0,A,0,304.0,0,Transient,75.0,0,0,1.0,GBR
4,Resort Hotel,0,14,July,1,0,2,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,98.0,0,1,2.0,GBR
5,Resort Hotel,0,14,July,1,0,2,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,98.0,0,1,2.0,GBR
6,Resort Hotel,0,0,July,1,0,2,BB,Direct,0,0,0,C,0,,0,Transient,107.0,0,0,2.0,PRT
7,Resort Hotel,0,9,July,1,0,2,FB,Direct,0,0,0,C,0,303.0,0,Transient,103.0,0,1,2.0,PRT
8,Resort Hotel,1,85,July,1,0,3,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,82.0,0,1,2.0,PRT
9,Resort Hotel,1,75,July,1,0,3,HB,TA/TO,0,0,0,D,0,15.0,0,Transient,105.5,0,0,2.0,PRT
10,Resort Hotel,1,23,July,1,0,4,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,123.0,0,0,2.0,PRT
11,Resort Hotel,0,35,July,1,0,4,HB,TA/TO,0,0,0,D,0,240.0,0,Transient,145.0,0,0,2.0,PRT
12,Resort Hotel,0,68,July,1,0,4,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,97.0,0,3,2.0,USA
13,Resort Hotel,0,18,July,1,0,4,HB,TA/TO,0,0,0,G,1,241.0,0,Transient,154.77,0,1,3.0,ESP
14,Resort Hotel,0,37,July,1,0,4,BB,TA/TO,0,0,0,E,0,241.0,0,Transient,94.71,0,0,2.0,PRT
15,Resort Hotel,0,68,July,1,0,4,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,97.0,0,3,2.0,IRL
16,Resort Hotel,0,37,July,1,0,4,BB,TA/TO,0,0,0,E,0,8.0,0,Contract,97.5,0,0,2.0,PRT
17,Resort Hotel,0,12,July,1,0,1,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,88.2,0,0,2.0,IRL
18,Resort Hotel,0,0,July,1,0,1,BB,Corporate,0,0,0,G,0,,0,Transient,107.42,0,0,2.0,FRA
19,Resort Hotel,0,7,July,1,0,4,BB,Direct,0,0,0,G,0,250.0,0,Transient,153.0,0,1,2.0,GBR
20,Resort Hotel,0,37,July,1,1,4,BB,TA/TO,0,0,0,F,0,241.0,0,Transient,97.29,0,1,1.0,GBR
21,Resort Hotel,0,72,July,1,2,4,BB,Direct,0,0,0,A,1,250.0,0,Transient,84.67,0,1,2.0,PRT
22,Resort Hotel,0,72,July,1,2,4,BB,Direct,0,0,0,A,1,250.0,0,Transient,84.67,0,1,2.0,PRT
23,Resort Hotel,0,72,July,1,2,4,BB,Direct,0,0,0,D,1,250.0,0,Transient,99.67,0,1,2.0,PRT
24,Resort Hotel,0,127,July,1,2,5,HB,TA/TO,0,0,0,I,0,115.0,0,Contract,94.95,0,1,2.0,GBR
25,Resort Hotel,0,78,July,1,2,5,BB,TA/TO,0,0,0,D,0,5.0,0,Transient,63.6,1,0,2.0,PRT
26,Resort Hotel,0,48,July,1,2,5,BB,TA/TO,0,0,0,D,0,8.0,0,Contract,79.5,0,0,2.0,IRL
27,Resort Hotel,1,60,July,1,2,5,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,107.0,0,2,2.0,PRT
28,Resort Hotel,0,77,July,1,2,5,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,94.0,0,0,2.0,PRT
29,Resort Hotel,0,99,July,1,2,5,BB,TA/TO,0,0,0,D,0,240.0,0,Transient,87.3,1,1,2.0,PRT
31,Resort Hotel,0,95,July,1,4,11,BB,TA/TO,0,0,0,D,0,241.0,0,Transient,63.86,0,0,2.0,GBR
32,Resort Hotel,1,96,July,1,2,8,BB,Direct,0,0,0,E,0,,0,Transient,108.3,0,2,2.0,PRT
33,Resort Hotel,0,69,July,2,2,4,BB,TA/TO,0,0,0,C,0,175.0,0,Transient,65.5,0,0,2.0,IRL
34,Resort Hotel,1,45,July,2,1,3,BB,TA/TO,0,0,0,D,0,241.0,0,Transient,108.8,0,1,3.0,PRT
35,Resort Hotel,1,40,July,2,1,3,BB,TA/TO,0,0,0,D,0,241.0,0,Transient,108.8,0,1,3.0,PRT
36,Resort Hotel,0,15,July,2,1,3,BB,TA/TO,0,0,0,C,0,240.0,0,Transient,98.0,0,0,2.0,ESP
37,Resort Hotel,0,36,July,2,1,3,BB,TA/TO,0,0,0,D,0,241.0,0,Transient,108.8,0,1,3.0,PRT
38,Resort Hotel,1,43,July,2,1,3,BB,TA/TO,0,0,0,D,0,241.0,0,Transient,108.8,0,0,3.0,PRT
39,Resort Hotel,0,70,July,2,2,3,HB,Direct,0,0,0,E,0,250.0,0,Transient,137.0,0,1,2.0,Other
40,Resort Hotel,1,45,July,2,2,3,BB,TA/TO,0,0,0,G,0,241.0,0,Transient,117.81,0,0,2.0,PRT
41,Resort Hotel,0,45,July,2,2,3,BB,TA/TO,0,0,0,D,0,8.0,0,Contract,79.5,0,0,2.0,IRL
42,Resort Hotel,0,16,July,2,2,3,BB,Direct,0,0,0,F,0,,0,Transient,123.0,0,0,2.0,ESP
43,Resort Hotel,0,70,July,2,2,3,HB,Direct,0,0,0,E,0,250.0,0,Transient,137.0,0,1,2.0,Other
44,Resort Hotel,0,107,July,2,2,5,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,110.7,0,2,2.0,PRT
45,Resort Hotel,1,47,July,2,2,5,BB,TA/TO,0,0,0,G,0,240.0,0,Transient,153.0,0,0,4.0,PRT
46,Resort Hotel,0,96,July,2,2,5,BB,TA/TO,0,0,0,A,0,134.0,0,Transient,58.95,0,1,2.0,ESP
47,Resort Hotel,0,113,July,2,2,5,BB,TA/TO,0,0,0,E,0,156.0,0,Transient-Party,82.88,0,2,2.0,Other
48,Resort Hotel,0,90,July,2,2,5,HB,TA/TO,0,0,0,B,1,243.0,0,Contract,82.35,0,0,2.0,GBR
49,Resort Hotel,0,50,July,2,2,5,HB,TA/TO,0,0,0,F,1,241.0,0,Transient,119.35,0,1,2.0,IRL
50,Resort Hotel,0,113,July,2,2,5,BB,TA/TO,0,0,0,D,0,156.0,0,Transient-Party,67.58,0,2,2.0,Other
51,Resort Hotel,0,93,July,2,3,8,BB,TA/TO,0,0,0,A,0,156.0,0,Contract,56.01,0,0,2.0,IRL
52,Resort Hotel,0,76,July,2,4,10,BB,TA/TO,0,0,0,D,0,243.0,0,Contract,110.7,0,0,2.0,Other
53,Resort Hotel,0,3,July,2,0,1,BB,TA/TO,0,0,0,C,0,240.0,0,Transient,88.2,1,0,2.0,ESP
54,Resort Hotel,0,1,July,2,0,1,BB,TA/TO,0,0,0,H,0,240.0,0,Transient,147.0,1,0,2.0,Other
55,Resort Hotel,0,1,July,2,0,1,BB,Direct,0,0,0,C,0,,0,Transient,107.0,1,2,4.0,ESP
56,Resort Hotel,0,0,July,2,0,1,BB,Direct,0,0,0,H,0,,0,Transient,147.0,0,0,2.0,PRT
57,Resort Hotel,0,0,July,2,0,1,BB,TA/TO,0,0,0,D,0,240.0,0,Transient,117.9,0,2,2.0,PRT
58,Resort Hotel,0,0,July,2,0,1,BB,Direct,0,0,0,G,0,,0,Transient,123.0,0,0,2.0,PRT
59,Resort Hotel,0,14,July,2,0,2,BB,TA/TO,0,0,0,C,0,242.0,0,Transient,98.0,0,1,2.0,USA
60,Resort Hotel,0,10,July,2,0,2,BB,TA/TO,0,0,0,G,0,241.0,0,Transient,117.81,0,0,2.0,PRT
61,Resort Hotel,0,5,July,2,0,2,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,135.0,1,2,2.0,IRL
62,Resort Hotel,0,17,July,2,0,3,BB,Direct,0,0,0,F,0,250.0,0,Transient,133.0,0,1,2.0,ESP
63,Resort Hotel,0,93,July,2,0,3,BB,TA/TO,0,0,0,C,0,115.0,0,Contract,58.95,0,0,2.0,IRL
64,Resort Hotel,1,3,July,2,0,3,HB,TA/TO,0,0,0,A,0,240.0,0,Transient,136.33,0,2,2.0,PRT
65,Resort Hotel,0,10,July,3,0,2,BB,TA/TO,0,0,0,H,0,240.0,0,Transient,153.0,1,0,4.0,USA
66,Resort Hotel,0,3,July,3,0,2,BB,TA/TO,0,0,0,C,0,240.0,0,Transient,110.5,0,0,2.0,ESP
67,Resort Hotel,0,51,July,3,0,2,BB,TA/TO,0,0,0,D,0,242.0,0,Transient,97.0,0,0,2.0,Other
68,Resort Hotel,1,71,July,3,0,2,BB,TA/TO,0,0,0,A,0,242.0,0,Transient,110.3,0,2,3.0,PRT
69,Resort Hotel,1,63,July,3,0,2,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,82.0,0,2,2.0,PRT
70,Resort Hotel,1,62,July,3,0,2,BB,TA/TO,0,0,0,D,0,240.0,0,Transient,97.0,0,1,2.0,PRT
71,Resort Hotel,1,101,July,3,0,2,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,73.8,0,1,2.0,PRT
72,Resort Hotel,0,2,July,3,0,2,HB,TA/TO,0,0,0,A,0,3.0,0,Transient,91.5,0,0,2.0,PRT
73,Resort Hotel,0,15,July,3,0,2,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,114.5,0,0,2.0,ESP
74,Resort Hotel,1,51,July,3,0,2,BB,TA/TO,0,0,0,A,0,242.0,0,Transient,110.3,0,0,3.0,PRT
75,Resort Hotel,0,3,July,3,1,2,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,90.9,1,0,2.0,ESP
76,Resort Hotel,1,48,July,3,1,2,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,123.0,0,0,2.0,PRT
77,Resort Hotel,0,2,July,3,2,2,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,122.0,0,0,1.0,PRT
78,Resort Hotel,0,72,July,3,2,2,BB,TA/TO,0,0,0,A,0,105.0,0,Transient,110.7,1,0,2.0,DEU
79,Resort Hotel,0,81,July,3,2,6,BB,TA/TO,0,0,0,D,0,5.0,0,Transient,85.86,0,0,3.0,PRT
80,Resort Hotel,0,99,July,3,2,7,BB,TA/TO,0,0,0,A,0,40.0,0,Contract,58.95,0,0,2.0,FRA
81,Resort Hotel,1,368,July,3,3,7,BB,TA/TO,0,0,0,A,0,40.0,0,Contract,55.68,0,0,2.0,PRT
82,Resort Hotel,0,364,July,3,3,7,BB,TA/TO,0,0,0,A,0,40.0,0,Contract,55.68,0,0,2.0,GBR
83,Resort Hotel,1,81,July,3,3,7,HB,Direct,0,0,0,A,2,250.0,0,Transient,124.0,0,1,2.0,PRT
84,Resort Hotel,0,99,July,3,3,7,HB,TA/TO,0,0,0,E,0,115.0,0,Contract,111.15,0,0,2.0,GBR
85,Resort Hotel,0,324,July,3,4,10,HB,TA/TO,0,0,0,E,0,40.0,0,Contract,134.73,0,0,2.0,GBR
86,Resort Hotel,0,69,July,3,4,10,BB,TA/TO,0,0,0,F,1,241.0,0,Transient,92.45,0,1,2.0,GBR
87,Resort Hotel,1,79,July,3,6,15,BB,TA/TO,0,0,0,A,0,242.0,0,Transient,108.73,0,2,3.0,PRT
88,Resort Hotel,0,12,July,3,0,1,BB,TA/TO,0,0,0,C,0,240.0,0,Transient,73.8,0,0,2.0,GBR
89,Resort Hotel,0,9,July,3,0,1,BB,TA/TO,0,0,0,C,0,240.0,0,Transient,98.0,1,2,2.0,PRT
90,Resort Hotel,0,1,July,3,0,1,BB,TA/TO,0,0,0,C,0,240.0,0,Transient,131.0,0,1,2.0,ESP
91,Resort Hotel,0,21,July,3,0,1,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,123.0,0,0,2.0,PRT
92,Resort Hotel,0,9,July,3,0,1,BB,TA/TO,0,0,0,C,0,241.0,0,Transient,94.71,0,0,2.0,USA
93,Resort Hotel,0,109,July,3,0,1,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,123.0,0,2,2.0,BEL
94,Resort Hotel,1,109,July,3,0,2,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,123.0,0,1,2.0,PRT
95,Resort Hotel,1,72,July,3,0,2,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,73.8,0,1,2.0,PRT
96,Resort Hotel,1,63,July,3,2,5,BB,TA/TO,0,0,0,F,0,242.0,0,Transient,117.0,0,1,2.0,PRT
97,Resort Hotel,0,63,July,3,2,5,HB,TA/TO,0,0,0,E,0,105.0,0,Transient,196.54,0,1,3.0,ESP
98,Resort Hotel,0,101,July,3,2,5,BB,TA/TO,0,0,0,D,0,240.0,0,Transient,99.3,1,2,3.0,PRT
99,Resort Hotel,0,102,July,3,2,5,BB,Direct,0,0,0,E,0,250.0,0,Transient,90.95,0,0,2.0,DEU
100,Resort Hotel,0,4,July,4,2,1,BB,Direct,0,0,0,C,0,250.0,0,Transient,92.67,0,1,2.0,ESP
101,Resort Hotel,0,98,July,4,2,1,BB,TA/TO,0,0,0,D,0,8.0,0,Transient,71.55,1,0,2.0,FRA
102,Resort Hotel,0,92,July,4,2,4,BB,TA/TO,0,0,0,F,0,241.0,0,Transient,96.49,0,2,3.0,FRA
103,Resort Hotel,0,95,July,4,2,4,BB,TA/TO,0,0,0,C,0,240.0,0,Transient,85.8,1,2,2.0,PRT
104,Resort Hotel,0,102,July,4,2,5,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,96.3,0,1,2.0,PRT
105,Resort Hotel,1,26,July,4,2,5,BB,TA/TO,0,0,0,H,0,240.0,0,Transient,163.0,0,0,4.0,PRT
106,Resort Hotel,1,73,July,4,2,5,HB,Direct,0,0,0,D,0,250.0,0,Transient,172.0,0,1,3.0,PRT
107,Resort Hotel,1,102,July,4,2,5,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,110.7,0,1,2.0,PRT
108,Resort Hotel,0,115,July,4,2,5,BB,TA/TO,0,0,0,A,0,134.0,0,Transient,58.95,0,1,2.0,PRT
109,Resort Hotel,0,102,July,4,2,5,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,73.8,0,2,3.0,PRT
110,Resort Hotel,0,86,July,4,2,5,BB,TA/TO,0,0,0,D,0,240.0,0,Transient,97.0,0,2,2.0,CHE
111,Resort Hotel,0,78,July,4,2,5,HB,TA/TO,0,0,0,F,0,240.0,0,Transient,139.0,0,2,3.0,PRT
112,Resort Hotel,0,52,July,4,2,5,BB,TA/TO,0,0,0,A,0,147.0,0,Transient,67.24,0,0,2.0,GBR
113,Resort Hotel,0,29,July,4,2,6,BB,TA/TO,0,0,0,E,0,241.0,0,Transient,116.5,0,1,3.0,PRT
114,Resort Hotel,1,101,July,4,2,6,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,96.3,0,1,2.0,PRT
115,Resort Hotel,0,109,July,4,2,6,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,123.0,0,1,2.0,PRT
116,Resort Hotel,0,92,July,4,4,6,BB,TA/TO,0,0,0,D,0,40.0,0,Contract,71.55,0,1,2.0,GBR
117,Resort Hotel,0,92,July,4,4,6,BB,TA/TO,0,0,0,D,0,40.0,0,Contract,71.55,0,1,2.0,PRT
118,Resort Hotel,0,79,July,4,4,6,HB,Direct,0,0,0,D,1,250.0,0,Transient,149.0,0,1,3.0,PRT
119,Resort Hotel,0,2,July,4,0,1,BB,TA/TO,0,0,0,G,1,240.0,0,Transient,163.0,1,0,4.0,PRT
120,Resort Hotel,0,30,July,4,0,1,BB,TA/TO,0,0,0,C,0,8.0,0,Contract,79.5,0,0,2.0,PRT
121,Resort Hotel,1,51,July,4,0,1,HB,TA/TO,0,0,0,A,0,240.0,0,Transient,105.0,0,0,1.0,PRT
122,Resort Hotel,1,36,July,4,0,1,BB,Direct,0,0,0,G,1,250.0,0,Transient,123.0,0,0,1.0,PRT
123,Resort Hotel,1,73,July,4,0,1,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,73.8,0,2,2.0,PRT
124,Resort Hotel,1,33,July,4,0,1,BB,TA/TO,0,0,0,D,0,240.0,0,Transient,113.0,0,0,2.0,PRT
125,Resort Hotel,0,32,July,4,0,1,FB,Direct,0,0,0,H,2,,0,Transient,0.0,0,1,4.0,PRT
126,Resort Hotel,0,8,July,4,0,1,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,123.0,0,0,2.0,ESP
127,Resort Hotel,0,100,July,4,1,1,BB,TA/TO,0,0,0,C,0,240.0,0,Transient-Party,73.8,1,1,2.0,FRA
128,Resort Hotel,0,1,July,4,1,1,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,114.5,0,0,2.0,PRT
129,Resort Hotel,0,100,July,4,1,1,BB,TA/TO,0,0,0,A,0,240.0,0,Transient-Party,73.8,0,2,2.0,FRA
130,Resort Hotel,0,100,July,4,1,1,BB,TA/TO,0,0,0,C,0,240.0,0,Transient-Party,73.8,0,1,2.0,FRA
131,Resort Hotel,0,9,July,5,1,0,BB,TA/TO,0,0,0,C,0,240.0,0,Transient,88.2,0,1,2.0,ESP
132,Resort Hotel,1,5,July,5,1,0,BB,TA/TO,0,0,0,D,0,240.0,0,Transient,97.0,0,0,2.0,PRT
133,Resort Hotel,0,0,July,5,1,0,BB,TA/TO,0,0,0,C,1,306.0,0,Transient,85.1,0,0,2.0,ESP
134,Resort Hotel,0,9,July,5,1,0,BB,TA/TO,0,0,0,A,0,184.0,0,Transient,89.0,0,0,1.0,DEU
135,Resort Hotel,0,2,July,5,1,0,BB,TA/TO,0,0,0,D,0,240.0,0,Transient,80.1,0,0,1.0,PRT
136,Resort Hotel,0,2,July,5,1,0,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,98.0,0,0,2.0,PRT
137,Resort Hotel,0,9,July,5,1,0,BB,TA/TO,0,0,0,A,0,184.0,0,Transient,101.0,1,0,1.0,DEU
138,Resort Hotel,1,5,July,5,1,0,BB,TA/TO,0,0,0,D,0,240.0,0,Transient,97.0,0,0,2.0,PRT
139,Resort Hotel,0,2,July,5,1,0,BB,Direct,0,0,0,G,0,,0,Transient,167.0,0,1,2.0,PRT
140,Resort Hotel,0,44,July,5,2,0,HB,TA/TO,0,0,0,G,3,240.0,0,Transient,225.0,2,0,3.0,PRT
141,Resort Hotel,0,80,July,5,2,0,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,97.0,1,0,2.0,FRA
142,Resort Hotel,0,97,July,5,2,2,BB,TA/TO,0,0,0,D,0,240.0,0,Transient,87.3,0,2,2.0,ESP
143,Resort Hotel,0,109,July,5,2,3,BB,TA/TO,0,0,0,D,0,241.0,0,Transient,85.59,1,2,3.0,CN
144,Resort Hotel,0,30,July,5,2,3,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,123.0,0,0,2.0,ESP
145,Resort Hotel,0,64,July,5,2,3,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,107.0,0,0,2.0,PRT
146,Resort Hotel,0,39,July,5,2,4,BB,TA/TO,0,0,0,H,0,240.0,0,Transient,163.0,0,0,2.0,ESP
147,Resort Hotel,0,90,July,5,2,4,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,82.0,0,0,2.0,PRT
148,Resort Hotel,1,34,July,5,2,4,BB,TA/TO,0,0,0,H,0,240.0,0,Transient,163.0,0,0,4.0,PRT
149,Resort Hotel,1,93,July,5,2,5,HB,TA/TO,0,0,0,D,0,15.0,0,Transient,105.5,0,0,2.0,PRT
150,Resort Hotel,0,97,July,5,2,5,HB,Direct,0,0,0,C,1,250.0,0,Transient,164.2,1,1,4.0,PRT
151,Resort Hotel,0,29,July,5,2,5,BB,TA/TO,0,0,0,F,0,241.0,0,Transient,97.29,0,1,2.0,IRL
152,Resort Hotel,1,101,July,5,2,5,HB,TA/TO,0,0,0,A,0,240.0,0,Transient,114.0,0,1,2.0,PRT
153,Resort Hotel,0,27,July,5,2,5,BB,TA/TO,0,0,0,E,0,175.0,0,Transient,98.4,0,0,2.0,ESP
154,Resort Hotel,0,8,July,5,4,5,BB,TA/TO,0,0,0,H,1,240.0,0,Transient,175.0,1,1,4.0,CHE
155,Resort Hotel,0,82,July,5,4,6,BB,TA/TO,0,0,0,D,0,5.0,0,Transient,63.6,1,2,2.0,PRT
156,Resort Hotel,0,94,July,5,4,6,BB,Direct,0,0,0,C,3,,0,Transient,124.45,1,1,3.0,PRT
157,Resort Hotel,0,110,July,5,4,7,BB,TA/TO,0,0,0,D,0,40.0,0,Contract,110.7,0,0,2.0,GBR
158,Resort Hotel,0,96,July,5,4,10,HB,TA/TO,0,0,0,A,0,40.0,0,Contract,74.07,0,0,1.0,GBR
159,Resort Hotel,0,79,July,5,4,10,HB,TA/TO,0,0,0,D,0,243.0,0,Contract,134.1,0,0,2.0,GBR
160,Resort Hotel,0,115,July,6,1,4,BB,TA/TO,0,0,0,G,1,240.0,0,Transient,167.0,0,0,4.0,PRT
161,Resort Hotel,0,111,July,6,1,3,BB,TA/TO,0,0,0,C,0,240.0,0,Transient,123.0,0,2,2.0,PRT
162,Resort Hotel,0,51,July,6,1,3,BB,TA/TO,0,0,0,G,0,241.0,0,Transient,117.81,1,2,2.0,USA
163,Resort Hotel,0,94,July,6,1,3,BB,TA/TO,0,0,0,D,0,96.0,0,Transient,171.32,0,1,3.0,CN
164,Resort Hotel,0,81,July,6,1,3,HB,Direct,0,0,0,G,0,250.0,0,Transient,210.0,1,0,4.0,CHE
165,Resort Hotel,0,84,July,6,1,3,BB,TA/TO,0,0,0,E,1,240.0,0,Transient,97.0,0,2,3.0,PRT
166,Resort Hotel,0,51,July,6,1,3,BB,TA/TO,0,0,0,G,0,241.0,0,Transient,117.81,0,2,3.0,USA
167,Resort Hotel,0,111,July,6,0,0,BB,TA/TO,0,0,0,H,0,240.0,0,Transient,0.0,0,2,2.0,PRT
168,Resort Hotel,0,0,July,6,0,0,BB,Direct,0,0,0,H,0,250.0,0,Transient,0.0,0,0,1.0,PRT
169,Resort Hotel,0,2,July,6,1,0,BB,Direct,0,0,0,E,0,,0,Transient,131.0,0,0,3.0,PRT
170,Resort Hotel,0,7,July,6,1,1,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,98.0,0,2,2.0,PRT
171,Resort Hotel,0,98,July,6,1,1,BB,TA/TO,0,0,0,F,0,240.0,0,Transient,87.3,1,1,2.0,USA
172,Resort Hotel,0,95,July,6,1,2,BB,TA/TO,0,0,0,D,0,240.0,0,Transient,97.0,0,1,2.0,Other
173,Resort Hotel,1,48,July,6,1,3,HB,TA/TO,0,0,0,E,0,240.0,0,Transient,167.0,0,0,2.0,PRT
174,Resort Hotel,0,66,July,6,1,3,HB,TA/TO,0,0,0,E,0,175.0,0,Transient,91.5,0,0,2.0,PRT
175,Resort Hotel,0,104,July,6,1,3,BB,TA/TO,0,0,0,C,1,240.0,0,Transient,73.8,0,1,2.0,PRT
176,Resort Hotel,0,28,July,6,1,4,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,123.0,0,0,2.0,PRT
177,Resort Hotel,0,34,July,6,1,4,HB,Direct,0,0,0,F,0,250.0,0,Transient,175.0,1,0,2.0,PRT
178,Resort Hotel,0,98,July,6,1,5,HB,TA/TO,0,0,0,C,0,240.0,0,Transient,117.8,1,1,2.0,ESP
179,Resort Hotel,0,104,July,6,1,5,BB,TA/TO,0,0,0,E,1,240.0,0,Transient,117.63,0,0,2.0,PRT
180,Resort Hotel,0,68,July,6,2,5,HB,TA/TO,0,0,0,G,0,240.0,0,Transient,185.0,0,0,4.0,PRT
181,Resort Hotel,1,86,July,6,2,5,HB,TA/TO,0,0,0,A,0,175.0,0,Transient,71.0,0,1,1.0,PRT
182,Resort Hotel,0,258,July,6,2,5,BB,TA/TO,0,0,0,A,0,2.0,0,Contract,47.25,0,0,2.0,GBR
183,Resort Hotel,0,111,July,6,3,5,HB,TA/TO,0,0,0,C,0,240.0,0,Transient,151.0,0,1,2.0,PRT
184,Resort Hotel,1,94,July,6,3,7,BB,TA/TO,0,0,0,D,0,240.0,0,Transient,87.3,0,0,2.0,PRT
185,Resort Hotel,0,112,July,6,3,7,BB,TA/TO,0,0,0,A,0,242.0,0,Transient,120.6,0,1,2.0,GBR
186,Resort Hotel,0,100,July,6,3,7,BB,TA/TO,0,0,0,D,1,241.0,0,Transient,63.86,0,1,2.0,GBR
187,Resort Hotel,0,33,July,6,3,7,HB,Direct,0,0,0,F,5,250.0,0,Transient,157.1,0,1,2.0,PRT
188,Resort Hotel,0,97,July,6,3,7,HB,TA/TO,0,0,0,D,0,156.0,0,Contract,91.37,0,2,2.0,GBR
189,Resort Hotel,0,80,July,6,3,8,BB,Direct,0,0,0,A,1,,0,Transient,73.0,0,0,1.0,FRA
190,Resort Hotel,0,90,July,6,4,10,BB,TA/TO,0,0,0,D,0,8.0,0,Contract,110.7,0,0,2.0,ITA
191,Resort Hotel,0,111,July,6,4,10,BB,TA/TO,0,0,0,A,0,40.0,0,Contract,93.6,0,0,2.0,GBR
192,Resort Hotel,0,65,July,6,2,5,BB,TA/TO,0,0,0,D,0,127.0,0,Transient,83.5,0,0,2.0,PRT
193,Resort Hotel,1,67,July,7,0,2,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,73.8,0,1,2.0,PRT
194,Resort Hotel,0,55,July,7,0,3,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,82.0,1,2,2.0,ESP
195,Resort Hotel,0,21,July,7,0,3,HB,Direct,0,0,0,F,0,250.0,0,Transient,185.5,0,1,3.0,PRT
196,Resort Hotel,0,8,July,7,0,0,BB,Direct,0,0,0,A,0,,0,Transient,0.0,0,1,2.0,PRT
197,Resort Hotel,0,8,July,7,0,0,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,0.0,0,1,2.0,PRT
198,Resort Hotel,0,0,July,7,0,1,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,109.8,0,3,1.0,GBR
199,Resort Hotel,0,0,July,7,0,1,HB,Direct,0,0,0,C,0,,0,Transient,195.0,1,0,3.0,PRT
200,Resort Hotel,0,0,July,7,0,1,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,109.8,0,3,1.0,GBR
